institution,latitude,longitude
Saint Louis University,38.6361656,-90.2343109
University at Albany - SUNY,42.684269131499065,-73.82613558917132
SIU Carbondale,37.70800562397689,-89.22294465864914
New York Tech,40.7695562342788,-73.98241614528438
University of Rhode Island,41.486224734159826,-71.53067880270588
University of Massachusetts Dartmouth,41.62689605789235,-71.00543361651762
Boğaziçi University,41.083691925263054,29.051732013494348
Chalmers/GU,57.6899380299689,11.974118784659131
Université du Québec à Montréal,45.51315637322944,-73.56029094097693
University of Lübeck,53.83426904110597,10.703658726592574
Queen’s University,44.22527555556442,-76.49515581098849
IMDEA Networks Institute,40.336789415286916,-3.7702456027432985
Sabancı University,40.89014338703143,29.377219806938523
IMDEA Software Institute,40.40703560188012,-3.835375273905832
Mälardalen University,59.618589027060494,16.54069284033789
University of Göttingen,51.541481226272424,9.937595197663564
University of Würzburg,49.788160591372474,9.935259997594065
Koç University,41.11561121643394,29.0487627024679
University of Tübingen,48.52505835441629,9.057287597545335
University of Erlangen–Nuremberg,49.59775941755374,11.00457339758669
Brandenburg University of Technology,51.76709895295292,14.32667614000224
Central South University,28.164313162781742,112.93252070956054
University of Münster,51.96322376116757,7.613568926515798
University of A Coruña,43.33334396338293,-8.409342944972979
Chongqing University,29.56023384159334,106.45424561835006
Maynooth University,53.38465787409498,-6.60060750226126
RWTH Aachen University,50.77752091906343,6.077485297633013
University of Regensburg,48.99678327988503,12.095808243049701
NWPU,37.689019501521884,116.25696853950375
Yangzhou University,32.399011633221136,119.38992031564511 
SUFE,31.30656191652006,121.49402727116478
Simula UiB,60.380951970099616,5.330713926878019
Tianjin University,39.181822227448365,117.12994274173418
Beijing Jiaotong University,39.951295199347314,116.33661609099904
Xi'an Jiaotong University,39.93921131558552,116.31365225424938
Sichuan University,30.66393169969465,104.07104345767043
Northwest University,47.65762461216917,-122.19233890248749
THWS,49.795992794685844,9.913167518165555
University of Düsseldorf,51.191300027651764,6.794121484147378
NAIST,34.732562488376594,135.73401450000003
University of Osnabrück,52.27132487634149,8.044226797693057
Özyeğin University,41.03060197795734,29.258305097279194
Malmö University,55.608777192791585,12.994550368997075
TOBB ETÜ,39.92113664464202,32.79831079999999
Yıldız Technical University,41.020922152418926,28.898708894559977
