Name,Department,Affiliation,Homepage,Matched Areas
Colin Raffel,University of Toronto,University of Toronto,https://colinraffel.com,"aaai, acl, asplos, emnlp, iclr, icml, kdd, naacl, nips, usenixsec"
Colin Riba,Ecole Normale Superieure de Lyon,Ecole Normale Superieure de Lyon,https://perso.ens-lyon.fr/colin.riba,lics
Colin S. Gordon,Drexel University,Drexel University,https://www.cs.drexel.edu/~csgordon,"oopsla, pldi"
Colin Ware,University of New Hampshire,University of New Hampshire,http://ccom.unh.edu/vislab/colin_ware.html,"chiconf, eurographics, icra, vis"
Colleen M. Lewis,Univ. of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,https://cs.illinois.edu/about/people/faculty/colleenl,sigcse
Collin F. Lynch,North Carolina State University,North Carolina State University,http://people.engr.ncsu.edu/cflynch,"aaai, chiconf, sigcse"
Collin M. Stultz,Massachusetts Institute of Technology,Massachusetts Institute of Technology,https://imes.mit.edu/people/faculty/stultz-collin,icml
Collin McMillan,University of Notre Dame,University of Notre Dame,http://www.cse.nd.edu/~cmc,"ase, fse, icse, naacl"
Cong Fang 0001,Peking University,Peking University,https://congfang-ml.github.io,"aaai, iclr, icml, nips"
Cong Hao,Georgia Institute of Technology,Georgia Institute of Technology,https://sharclab.ece.gatech.edu,"dac, hpca, iccad, iccv, iclr, nips"
Cong Liu 0005,Univ. of California - Riverside,Univ. of California - Riverside,https://intra.ece.ucr.edu/~cong/index.html,"acl, ase, cvpr, dac, eccv, emsoft, fse, iccv, iclr, ics, icse, ijcai, iros, issta, mobicom, nips, oopsla, rtas, rtss, ubicomp, usenixatc"
Cong Shi 0004,NJIT,NJIT,https://web.njit.edu/~cs638,"aaai, ccs, eccv, iccv, mobicom, mobisys, oakland, sensys, ubicomp"
Cong Sun 0001,Xidian University,Xidian University,https://web.xidian.edu.cn/suncong/index.html,"icse, ndss, usenixsec"
Cong Tian,Xidian University,Xidian University,http://web.xidian.edu.cn/ctian/en/index.html,"ase, cav, dac, eccv, fse, icse, ijcai, issta, lics, www"
Congfu Xu,Zhejiang University,Zhejiang University,http://www.cs.zju.edu.cn/people/xucf,"aaai, ijcai"
Conghui Zhu,Harbin Institute of Technology,Harbin Institute of Technology,http://homepage.hit.edu.cn/conghui,"acl, emnlp, ijcai, naacl"
Congming Gao,Xiamen University,Xiamen University,https://gaocm.github.io,"dac, emsoft, fast, hpca, micro"
Congyan Lang,Beijing Jiaotong University,Beijing Jiaotong University,https://faculty.bjtu.edu.cn/7968,"aaai, cvpr, eccv, iccv, icra, nips"
Constantin A. Rothkopf,TU Darmstadt,TU Darmstadt,https://www.pip.tu-darmstadt.de/members_pip/publications.en.jsp,"aaai, chiconf, cvpr, iclr, icra, iros, nips"
Constantin Pape,University of Göttingen,University of Göttingen,https://user.informatik.uni-goettingen.de/~pape41,"cvpr, eccv"
Constantine Caramanis,University of Texas at Austin,University of Texas at Austin,https://www.cs.utexas.edu/people/faculty-researchers/constantine-caramanis,"aaai, cvpr, dac, iccad, iclr, icml, nips, sigmetrics, soda, vldb"
Constantinos Daskalakis,Massachusetts Institute of Technology,Massachusetts Institute of Technology,http://people.csail.mit.edu/costis,"aaai, ec, focs, iclr, icml, nips, recomb, soda, stoc, wine"
Constantinos Dovrolis,Georgia Institute of Technology,Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Constantinos.Dovrolis,"cvpr, icml, ijcai, imc, kdd, nips, sigcomm, sigmetrics, usenixatc"
Corey Tessler,University of Nevada Las Vegas,University of Nevada Las Vegas,https://www.unlv.edu/people/chuck-tessler,"rtas, rtss"
Corey Toler-Franklin,University of Florida,University of Florida,https://www.cise.ufl.edu/people/faculty/ctoler-franklin,"siggraph, siggraph-asia"
Corinna Coupette,Aalto University,Aalto University,https://www.aalto.fi/en/people/corinna-coupette,"aaai, iclr, icml, kdd"
Cormac Flanagan,Univ. of California - Santa Cruz,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~cormac,"ase, cav, ccs, icfp, issta, lics, oopsla, pldi, popl"
Cornelia Caragea,University of Illinois at Chicago,University of Illinois at Chicago,https://www.cs.uic.edu/~cornelia,"aaai, acl, cvpr, emnlp, icml, ijcai, naacl, nips, www"
Cory J. Butz,University of Regina,University of Regina,http://www.cs.uregina.ca/People/Profiles/CoryButz.html,aaai
Cosmin Munteanu,University of Toronto,University of Toronto,http://www.cs.utoronto.ca/~mcosmin,"acl, chiconf, naacl, ubicomp"
Costas Busch,Augusta University,Augusta University,https://www.augusta.edu/faculty/directory/view.php?id=KBUSCH,"ec, focs, icra, iros, soda, stoc"
Costas Courcoubetis,CUHK (SZ),CUHK (SZ),https://sds.cuhk.edu.cn/en/teacher/473,"cav, focs, lics, rtss, sigmetrics, stoc"
Costas J. Spanos,Univ. of California - Berkeley,Univ. of California - Berkeley,https://www2.eecs.berkeley.edu/Faculty/Homepages/spanos.html,"aaai, dac, iclr, nips, ubicomp, vldb"
Costas Tsatsoulis,SIU Carbondale,SIU Carbondale,https://www.linkedin.com/in/costas-tsatsoulis-b276954b,"icml, ijcai"
Craig A. Schroeder,Univ. of California - Riverside,Univ. of California - Riverside,http://www.cs.ucr.edu/~craigs,"eurographics, nips, siggraph"
Craig A. Shue,Worcester Polytechnic Institute,Worcester Polytechnic Institute,http://www.cs.wpi.edu/~cshue,imc
Craig B. Zilles,Univ. of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,http://zilles.cs.illinois.edu,"asplos, chiconf, hpca, isca, micro, sigcse"
Craig E. Wills,Worcester Polytechnic Institute,Worcester Polytechnic Institute,http://www.cs.wpi.edu/~cew,"imc, sigcomm, www"
Craig Miller,DePaul University,DePaul University,http://facsrv.cdm.depaul.edu/~cmiller,"oakland, sc"
Craig Partridge,Colorado State University,Colorado State University,https://compsci.colostate.edu/person/?id=B671CC0FDBA374C584551B7982C0D4DE&sq=t,sigcomm
Craig Putnam,Worcester Polytechnic Institute,Worcester Polytechnic Institute,https://www.wpi.edu/academics/robotics/cbp.html,eurocrypt
Craig S. Kaplan,University of Waterloo,University of Waterloo,http://www.cgl.uwaterloo.ca/csk,"chiconf, siggraph, uist"
Cristian Borcea,NJIT,NJIT,http://cs.njit.edu/~borcea,"aaai, kdd, www"
Cristian Danescu-Niculescu-Mizil,Cornell University,Cornell University,http://www.cs.cornell.edu/~cristian,"acl, emnlp, kdd, naacl, www"
Cristian S. Calude,University of Auckland,University of Auckland,https://www.cs.auckland.ac.nz/~cristian,stoc
Cristian-Alexandru Staicu,CISPA Helmholtz Center,CISPA Helmholtz Center,https://www.staicu.org,"ase, ccs, icse, ndss, usenixsec, www"
Cristiana Amza,University of Toronto,University of Toronto,http://www.eecg.toronto.edu/~amza,"asplos, eurosys, fast, hpca, icde, ics, mobisys, sigmetrics, sigmod, usenixatc, vldb"
Cristina Bazgan,Université Paris Dauphine,Université Paris Dauphine,https://www.lamsade.dauphine.fr/~bazgan,aaai
Cristina Conati,University of British Columbia,University of British Columbia,http://www.cs.ubc.ca/~conati,"aaai, chiconf, eurographics, ijcai"
Cristina Nita-Rotaru,Northeastern University,Northeastern University,http://www.ccis.northeastern.edu/people/cristina-nita-rotaru,"aaai, ccs, iccad, imc, ndss, nsdi, oakland, usenixsec, vis, vldb"
Cristina Piazza,TU Munich,TU Munich,http://campar.in.tum.de/Main/CristinaPiazza,"icra, iros"
Cristina V. Lopes,Univ. of California - Irvine,Univ. of California - Irvine,http://www.ics.uci.edu/~lopes,"aaai, chiconf, fse, icse, ijcai, nips, oopsla, sigir, vldb"
Cruz Izu,University of Adelaide,University of Adelaide,http://www.adelaide.edu.au/directory/cruz.izu,"ics, sigcse"
Csaba Szepesvári,University of Alberta,University of Alberta,https://www.ualberta.ca/~szepesva,"aaai, eccv, iclr, icml, icra, ijcai, iros, nips, stoc"
Cuiping Li 0001,Renmin University of China,Renmin University of China,http://info.ruc.edu.cn/jsky/szdw/ajxjgcx/jsjkxyjsx1/js2/aebd5e3b1cfa45f185229034e905ed57.htm,"aaai, acl, cvpr, emnlp, iccv, icde, ijcai, kdd, sigir, sigmod, vldb, www"
Cuiyun Gao 0001,Harbin Institute of Technology,Harbin Institute of Technology,https://cuiyungao.github.io,"aaai, ase, ccs, emnlp, fse, icse, issta, www"
Cuncong Zhong,University of Kansas,University of Kansas,http://www.eecs.ku.edu/people/faculty,"cvpr, icra"
Cuneyt Gurcan Akcora,University of Central Florida,University of Central Florida,https://cakcora.github.io,"icde, iclr, ijcai, kdd, nips, vldb"
Cunxi Yu,University of Maryland - College Park,University of Maryland - College Park,https://ycunxi.github.io/cunxiyu,"asplos, dac, iccad, icml, usenixatc"
Curtis E. Dyreson,Utah State University,Utah State University,https://cs.usu.edu/people/faculty/dyreson-curtis,"icde, sigmod, vldb, www"
Cynthia Dwork,Harvard University,Harvard University,https://seas.harvard.edu/person/cynthia-dwork,"crypto, ec, eurocrypt, focs, iclr, icml, nips, pods, soda, stoc, www"
Cynthia E. Irvine,Naval Postgraduate School,Naval Postgraduate School,http://faculty.nps.edu/vitae/cgi-bin/vita.cgi?p=display_vita&id=1023567692,"oakland, usenixsec, vr"
Cynthia Matuszek,Univ. of Maryland - Baltimore County,Univ. of Maryland - Baltimore County,http://www.csee.umbc.edu/~cmat,"aaai, chiconf, icml, icra, iros, ubicomp"
Cynthia Putnam,DePaul University,DePaul University,http://www.cdm.depaul.edu/about/Pages/People/FacultyInfo.aspx?fid=1001,chiconf
Cynthia R. Marling,Ohio University,Ohio University,http://oucsace.cs.ohiou.edu/~marling,sigcse
Cynthia R. Sung,University of Pennsylvania,University of Pennsylvania,https://www.seas.upenn.edu/~crsung,"icra, iros, sensys"
Cynthia Rudin,Duke University,Duke University,https://users.cs.duke.edu/~cynthia/home.html,"aaai, acl, cvpr, icml, kdd, nips"
Cynthia Sturton,University of North Carolina,University of North Carolina,http://cs.unc.edu/~csturton,"asplos, ccs, micro, nsdi, oakland"
Cyrille Artho,KTH Royal Institute of Technology,KTH Royal Institute of Technology,https://people.kth.se/~artho,"ase, issta"
Cyrus Omar,University of Michigan,University of Michigan,https://web.eecs.umich.edu/~comar,"icfp, icse, oopsla, pldi, popl"
Cyrus Shahabi,University of Southern California,University of Southern California,http://infolab.usc.edu/Shahabi,"aaai, iccv, icde, iclr, icml, kdd, pods, sigmetrics, sigmod, vldb, www"
Cédric Pradalier,Georgia Institute of Technology,Georgia Institute of Technology,https://research.gatech.edu/people/cedric-pradalier,"iccv, icra, iros, siggraph"
Céline Chevalier,Ecole Normale Superieure,Ecole Normale Superieure,http://www.di.ens.fr/~ccheval,"ccs, crypto, eurocrypt"
César Sánchez 0001,IMDEA Software Institute,IMDEA Software Institute,http://software.imdea.org/~cesar,"aaai, cav, emsoft, icra, lics"
César Torres 0001,University of Texas at Arlington,University of Texas at Arlington,http://cearto.com,"chiconf, uist"
D. Caleb Rucker,University of Tennessee,University of Tennessee,https://mabe.utk.edu/people/d-caleb-rucker,"icra, iros, rss"
D. Ellis Hershkowitz,Brown University,Brown University,https://dhershko.github.io,"aaai, focs, icml, nips, stoc"
D. M. H. Walker,Texas A&M University,Texas A&M University,http://faculty.cse.tamu.edu/walker,dac
D. Martin Swany,Indiana University,Indiana University,https://www.soic.indiana.edu/all-people/profile.html?profile_id=307,"ics, rss, sc"
D. Mitchell Wilkes,Vanderbilt University,Vanderbilt University,http://engineering.vanderbilt.edu/bio/mitchell-wilkes,icra
D. Scott McCrickard,Virginia Tech,Virginia Tech,http://people.cs.vt.edu/~mccricks,"chiconf, sigcse, uist"
Da Cao,Hunan University,Hunan University,https://sites.google.com/view/caoda,"aaai, cvpr, iclr, sigir"
Da Yan 0001,Indiana University,Indiana University,https://homes.luddy.indiana.edu/yanda/home.html,"aaai, emnlp, eurosys, icde, iclr, icml, ijcai, kdd, sigmod, vldb, www"
Dachuan Li,SUSTech,SUSTech,https://faculty.sustech.edu.cn/?p=57187&tagid=&cat=2&iscss=1&snapid=1&orderby=date,icra
Dae Hyun Kim 0004,Washington State University,Washington State University,https://school.eecs.wsu.edu/people/faculty/dae-hyun-kim,"aaai, iccad"
Dae-Kyoo Kim,Oakland University,Oakland University,https://oakland.edu/secs/directory/kim,icse
Daehyeok Kim,University of Texas at Austin,University of Texas at Austin,https://daehyeok.kim,"ccs, micro, mobicom, ndss, nsdi, rtss, sigcomm, usenixsec"
Dag Svanæs,NTNU,NTNU,https://www.ntnu.edu/employees/dag.svanes,chiconf
Dahlia Malkhi,Univ. of California - Santa Barbara,Univ. of California - Santa Barbara,https://cs.ucsb.edu/people/faculty/dahlia-malkhi,"ccs, eurosys, nsdi, oakland, sigmetrics, soda, sosp, stoc, usenixatc, usenixsec"
Daibo Liu,Hunan University,Hunan University,https://sites.google.com/site/dbliuuestc,"ccs, ndss, ubicomp, usenixsec"
Daigo Shishika,George Mason University,George Mason University,https://cs.gmu.edu/directory/detail/177,"icra, iros"
Daisuke Iwai,Osaka University,Osaka University,https://www.sens.sys.es.osaka-u.ac.jp,"chiconf, eurographics, siggraph-asia, uist, vr"
Daisuke Kawahara,Kyoto University,Kyoto University,http://nlp.ist.i.kyoto-u.ac.jp/member/kawahara/index-en.html,"acl, emnlp, naacl"
Daisuke Kihara,Purdue University,Purdue University,http://dragon.bio.purdue.edu,"aaai, cvpr, emnlp, ismb"
Daisuke Takahashi,University of Tsukuba,University of Tsukuba,http://www.hpcs.cs.tsukuba.ac.jp/~daisuke/index.html,"aaai, ics, sc"
Daisy Zhe Wang,University of Florida,University of Florida,http://dsr.cise.ufl.edu/daisyw,"aaai, emnlp, icde, ijcai, naacl, nips, sigir, sigmod, vldb"
Dajiang Zhu,University of Texas at Arlington,University of Texas at Arlington,https://mentis.uta.edu/explore/profile/dajiang-zhu,"aaai, icml, nips"
Dakai Zhu 0001,University of Texas at San Antonio,University of Texas at San Antonio,http://www.cs.utsa.edu/~dzhu,"dac, iccad, rtas, rtss, sigcse"
Dakshita Khurana,Univ. of Illinois at Urbana-Champaign,Univ. of Illinois at Urbana-Champaign,https://www.dakshitakhurana.com,"crypto, eurocrypt, focs, stoc"
Dakuo Wang,Northeastern University,Northeastern University,https://dakuowang.com,"aaai, acl, chiconf, emnlp, kdd, naacl, ubicomp"
Dale Anthony Carnegie,Victoria University of Wellington,Victoria University of Wellington,http://ecs.victoria.ac.nz/Main/DaleCarnegie,"icra, iros, sigcse"
Dale Reed,University of Illinois at Chicago,University of Illinois at Chicago,https://sites.google.com/site/dalereed,sigcse
Dale Schuurmans,University of Alberta,University of Alberta,https://webdocs.cs.ualberta.ca/~dale,"aaai, acl, cvpr, eccv, iccv, iclr, icml, ijcai, kdd, naacl, nips"
Dali Ismail,Binghamton University,Binghamton University,https://www.binghamton.edu/computer-science/people/profile.html?id=dismail,"rtas, sensys"
Daljit Singh Dhillon,Clemson University,Clemson University,https://djsingh.people.clemson.edu,"eurographics, siggraph-asia"
Daljit Singh J. Dhillon,Clemson University,Clemson University,https://djsingh.people.clemson.edu,eurographics
Damian Dechev,University of Central Florida,University of Central Florida,http://cse.eecs.ucf.edu/bios/damiandechev.html,ase
Damian Niwinski,University of Warsaw,University of Warsaw,http://www.mimuw.edu.pl/~niwinski,"lics, pods"
Damiano Spina,RMIT University,RMIT University,https://www.rmit.edu.au/contact/staff-contacts/academic-staff/s/spina-dr-damiano,sigir
Damien Garreau,University of Würzburg,University of Würzburg,https://www.caidas.uni-wuerzburg.de/research-groups/theory-of-machine-learning,"icml, nips"
Damien Muselet,Université Jean Monnet,Université Jean Monnet,http://perso.univ-st-etienne.fr/muda8804,"cvpr, eccv, iccv"
Damien Stehlé,Ecole Normale Superieure de Lyon,Ecole Normale Superieure de Lyon,http://perso.ens-lyon.fr/damien.stehle,"ccs, crypto, eurocrypt, stoc"
Damien Vergnaud,Ecole Normale Superieure,Ecole Normale Superieure,http://www.di.ens.fr/~vergnaud,"ccs, crypto, eurocrypt"
Daming Shi 0001,Shenzhen University,Shenzhen University,http://vrlab.szu.edu.cn/people/shidaming.html,"cvpr, iccv"
Damith Chinthana Ranasinghe,University of Adelaide,University of Adelaide,http://www.adelaide.edu.au/directory/damith.ranasinghe,"aaai, iclr, icml, icse, ijcai, iros, issta, ndss, ubicomp, usenixsec"
Damon L. Woodard,University of Florida,University of Florida,https://www.ece.ufl.edu/user/1469,cvpr
Damon McCoy,New York University,New York University,http://engineering.nyu.edu/people/damon-mccoy,"ccs, emnlp, imc, kdd, mobisys, ndss, oakland, pets, usenixsec, www"
Dan Boneh,Stanford University,Stanford University,http://crypto.stanford.edu/~dabo,"asplos, ccs, crypto, eurocrypt, focs, iclr, icml, mobisys, ndss, nips, nsdi, oakland, pets, soda, sosp, stoc, usenixsec, www"
Dan Brown 0001,University of Waterloo,University of Waterloo,https://cs.uwaterloo.ca/~browndg,"ismb, soda"
Dan E. Tamir,Texas State University,Texas State University,http://www.cs.txstate.edu/~dt19,"chiconf, sigcse"
Dan E. Willard,University at Albany - SUNY,University at Albany - SUNY,https://www.albany.edu/ceas/dan-willard.php,"focs, pods, sigmod, soda, stoc"
Dan Feng 0001,HUST,HUST,http://faculty.hust.edu.cn/dfeng/en/index.htm,"aaai, cvpr, dac, eurosys, fast, hpdc, iccad, iccv, icde, ics, isca, micro, sc, sigir, usenixatc, vldb"
Dan Goldwasser,Purdue University,Purdue University,https://www.cs.purdue.edu/homes/dgoldwas,"aaai, acl, emnlp, icml, icse, ijcai, naacl, oakland, vis"
Dan Grossman,University of Washington,University of Washington,http://homes.cs.washington.edu/~djg,"asplos, ccs, icfp, icse, isca, micro, oopsla, pldi, popl, sigcse, sigmod, usenixatc"
Dan Hao 0001,Peking University,Peking University,http://sei.pku.edu.cn/~haod,"ase, fse, icse, issta"
Dan Huang 0001,Sun Yat-sen University,Sun Yat-sen University,https://cse.sysu.edu.cn/teacher/Huangdan,"dac, icml, ics"
Dan I. Moldovan,University of Texas at Dallas,University of Texas at Dallas,http://cs.utdallas.edu/people/faculty/moldovan-dan,"aaai, acl, emnlp, ijcai, isca, naacl, sigir"
Dan Li 0001,Tsinghua University,Tsinghua University,https://nasp.cs.tsinghua.edu.cn/lidan.html,"ccs, icde, ndss, nips, nsdi, oakland, sc, sigcomm, usenixsec"
Dan Li 0016,Sun Yat-sen University,Sun Yat-sen University,http://sse.sysu.edu.cn/teacher/209,"icde, issta"
Dan Lin 0001,Vanderbilt University,Vanderbilt University,https://engineering.vanderbilt.edu/bio/?pid=dan-lin,"icde, vldb"
Dan Negrut,University of Wisconsin - Madison,University of Wisconsin - Madison,https://sbel.wisc.edu,iros
Dan Pei,Tsinghua University,Tsinghua University,https://netman.cs.tsinghua.edu.cn/~peidan,"ase, fse, iclr, ijcai, imc, kdd, mobisys, sigcomm, sigmetrics, ubicomp, usenixatc, usenixsec, vldb, www"
Dan Roth,University of Pennsylvania,University of Pennsylvania,http://www.cis.upenn.edu/~danroth,"aaai, acl, cvpr, eccv, emnlp, iclr, icml, ijcai, ismb, kdd, naacl, nips, popl, www"
Dan Rubenstein,Columbia University,Columbia University,http://www.cs.columbia.edu/~danr,"ccs, mobicom, ndss, sensys, sigcomm, sigmetrics, soda"
Dan S. Wallach,Rice University,Rice University,https://www.cs.rice.edu/~dwallach,"ccs, chiconf, iros, mobicom, mobisys, ndss, oakland, osdi, pets, sosp, usenixsec"
Dan Suciu,University of Washington,University of Washington,https://homes.cs.washington.edu/~suciu,"aaai, icde, ijcai, lics, mobisys, nips, pldi, pods, sigmod, vldb, www"
Dan Ventura,Brigham Young University,Brigham Young University,http://axon.cs.byu.edu/Dan,"aaai, cvpr, icml, ijcai, nips"
Dan Williams 0001,Virginia Tech,Virginia Tech,https://people.cs.vt.edu/djwillia,"asplos, eurosys, nsdi, osdi, sosp, usenixatc, usenixsec"
Dan Zeng 0002,SUSTech,SUSTech,https://www.danzeng.org/about,"cvpr, eccv, iccv, ijcai, vis"
Dana Angluin,Yale University,Yale University,http://cpsc.yale.edu/people/dana-angluin,"aaai, focs, ijcai, nips, pods, stoc"
Dana Dachman-Soled,University of Maryland - College Park,University of Maryland - College Park,https://ece.umd.edu/~danadach,"ccs, crypto, eurocrypt, focs, iclr, icml, pets, soda, usenixsec"
Dana Habeeb,Indiana University,Indiana University,http://danahabeeb.com,chiconf
Dana McKay,RMIT University,RMIT University,https://sites.google.com/view/dana-mckay/about,"chiconf, sigir"
Dana Moshkovitz,University of Texas at Austin,University of Texas at Austin,https://people.csail.mit.edu/dmoshkov,"focs, soda, stoc"
Dana Randall,Georgia Institute of Technology,Georgia Institute of Technology,http://people.math.gatech.edu/~randall,"focs, soda, stoc"
Danai Koutra,University of Michigan,University of Michigan,http://web.eecs.umich.edu/~dkoutra,"aaai, cvpr, emnlp, iclr, icml, kdd, nips, uist, vldb, www"
Danaé Metaxa,University of Pennsylvania,University of Pennsylvania,https://metaxa.net,"aaai, chiconf, uist"
Danella Zhao,Old Dominion University,Old Dominion University,http://odu.edu/directory/people/d/dzhao,"dac, iccad"
Danfei Xu,Georgia Institute of Technology,Georgia Institute of Technology,https://cs.stanford.edu/~danfei,"cvpr, eccv, iccv, iclr, icra, iros, nips, rss"
Danfeng Shan,Xi'an Jiaotong University,Xi'an Jiaotong University,https://dfshan.github.io,"aaai, eurosys, nsdi"
Danfeng Yao,Virginia Tech,Virginia Tech,http://people.cs.vt.edu/danfeng,"ase, ccs, icse, imc, ndss, pets, usenixsec"
Danfeng Zhang,Duke University,Duke University,https://users.cs.duke.edu/~dz132,"ase, asplos, ccs, dac, hpca, kdd, micro, ndss, nips, oakland, oopsla, osdi, pldi, popl, usenixsec, vldb"
Dani Yogatama,University of Southern California,University of Southern California,https://dyogatama.github.io,"acl, emnlp, iclr, icml, nips"
Danica J. Sutherland,University of British Columbia,University of British Columbia,https://www.cs.ubc.ca/~dsuth,"aaai, cvpr, eccv, iclr, icml, ijcai, kdd, nips"
Daniel A. Braun 0001,University of Ulm,University of Ulm,https://www.uni-ulm.de/in/neuroinformatik/institut/hidden/d-braun,"icra, iros, nips"
Daniel A. Epstein,Univ. of California - Irvine,Univ. of California - Irvine,https://www.depstein.net,"chiconf, ubicomp"
Daniel A. Jiménez,Texas A&M University,Texas A&M University,http://faculty.cse.tamu.edu/djimenez,"asplos, hpca, ics, isca, micro, pldi"
Daniel A. Keim,University of Konstanz,University of Konstanz,https://www.vis.uni-konstanz.de/en/members/keim,"acl, chiconf, eurographics, icde, kdd, pods, sigmod, vis, vldb"
Daniel A. Reed,University of Utah,University of Utah,https://www.hpcdan.org,"hpdc, ics, isca, sc, sigmetrics"
Daniel A. Spielman,Yale University,Yale University,http://www.cs.yale.edu/homes/spielman,"focs, icml, stoc"
Daniel Aloise,Polytechnique Montreal,Polytechnique Montreal,https://professeurs.polymtl.ca/daniel.aloise,kdd
Daniel Andresen,Kansas State University,Kansas State University,http://cis.ksu.edu/~dan,hpdc
Daniel Angus,University of Queensland,University of Queensland,http://researchers.uq.edu.au/researcher/2079,vis
Daniel B. Larremore,University of Colorado Boulder,University of Colorado Boulder,http://danlarremore.com,www
Daniel B. Neill,New York University,New York University,https://cs.nyu.edu/~neill,"aaai, icml, kdd, nips"
Daniel Barbará,George Mason University,George Mason University,https://cs.gmu.edu/~dbarbara,"ec, icde, kdd, sigcomm, sigmod"
Daniel Beck,University of Melbourne,University of Melbourne,https://findanexpert.unimelb.edu.au/profile/672197-daniel-beck,"acl, emnlp, naacl, nips, sigir"
Daniel Boley,University of Minnesota,University of Minnesota,http://www-users.cs.umn.edu/~boley,"aaai, eccv, iccv, icra, ijcai, kdd"
Daniel Buschek,University of Bayreuth,University of Bayreuth,https://daniel-buschek.de/intro,"chiconf, ubicomp, uist, vr"
Daniel Cremers,TU Munich,TU Munich,http://vision.in.tum.de/members/cremers,"aaai, acl, cvpr, eccv, eurographics, iccv, iclr, icml, icra, iros, nips, rss"
Daniel D. Lee,Cornell University,Cornell University,http://www.seas.upenn.edu/~ddlee,"aaai, cvpr, eccv, iclr, icml, icra, ijcai, iros, nips"
Daniel D. Suthers,University of Hawaii at Manoa,University of Hawaii at Manoa,http://www2.hawaii.edu/~suthers,"aaai, ijcai"
Daniel Dominic Sleator,Carnegie Mellon University,Carnegie Mellon University,http://www.cs.cmu.edu/~sleator,"focs, soda, stoc"
Daniel E. Atkins,University of Michigan,University of Michigan,https://www.si.umich.edu/people/daniel-atkins-iii,"dac, isca, micro, sc"
Daniel E. Koditschek,University of Pennsylvania,University of Pennsylvania,http://www.seas.upenn.edu/~kod,"icra, iros, rss"
Daniel E. Krutz,Rochester Institute of Technology,Rochester Institute of Technology,https://dan7800.github.io/index.html,"ase, sigcse"
Daniel F. Keefe,University of Minnesota,University of Minnesota,http://www-users.cs.umn.edu/~keefe,"eurographics, siggraph, vis, vr"
Daniel F. Schmidt,Monash University,Monash University,https://research.monash.edu/en/persons/daniel-schmidt,"icra, ijcai, kdd, nips"
Daniel Fabbri,Vanderbilt University,Vanderbilt University,https://www.vumc.org/dbmi/person/daniel-fabbri-phd,"ccs, icde, vldb"
Daniel Fried,Carnegie Mellon University,Carnegie Mellon University,https://dpfried.github.io,"acl, cvpr, emnlp, iclr, icml, ijcai, naacl, nips"
Daniel G. Aliaga,Purdue University,Purdue University,https://www.cs.purdue.edu/homes/aliaga,"cvpr, eccv, eurographics, iccv, iclr, siggraph, siggraph-asia, vis"
Daniel Genkin,Georgia Institute of Technology,Georgia Institute of Technology,https://faculty.cc.gatech.edu/~genkin,"asplos, ccs, crypto, eurocrypt, oakland, pldi, stoc, usenixsec"
Daniel Gildea,University of Rochester,University of Rochester,https://www.cs.rochester.edu/u/gildea,"aaai, acl, emnlp, icml, ijcai, naacl"
Daniel Gottesman,University of Maryland - College Park,University of Maryland - College Park,https://www.cs.umd.edu/users/dgottesm,"eurocrypt, focs, stoc"
Daniel Grier,Univ. of California - San Diego,Univ. of California - San Diego,http://danielgrier.com,"focs, stoc"
Daniel Göhring,Freie Universitaet Berlin,Freie Universitaet Berlin,https://www.mi.fu-berlin.de/inf/groups/ag-ki/members/Professoren/Daniel_G__hring1.html,"icra, iros"
Daniel H. Huson,University of Tübingen,University of Tübingen,https://uni-tuebingen.de/fakultaeten/mathematisch-naturwissenschaftliche-fakultaet/fachbereiche/informatik/lehrstuehle/algorithms-in-bioinformatics/people/daniel-huson,"ismb, recomb"
Daniel Haehn,University of Massachusetts Boston,University of Massachusetts Boston,https://danielhaehn.com,"cvpr, eccv, emnlp, eurographics, vis"
Daniel Harabor,Monash University,Monash University,https://research.monash.edu/en/persons/daniel-harabor,"aaai, ijcai"
Daniel Hirschkoff,Ecole Normale Superieure de Lyon,Ecole Normale Superieure de Lyon,https://perso.ens-lyon.fr/daniel.hirschkoff,lics
Daniel Hsu 0001,Columbia University,Columbia University,http://www.cs.columbia.edu/~djhsu,"acl, ccs, chiconf, emnlp, iclr, icml, nips, oakland, sosp"
Daniel J. Abadi,University of Maryland - College Park,University of Maryland - College Park,https://www.cs.umd.edu/people/abadi,"fast, icde, kdd, osdi, sigmod, vldb"
Daniel J. Dougherty,Worcester Polytechnic Institute,Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/djd.html,"fse, icde, icse, lics"
Daniel J. Fremont,Univ. of California - Santa Cruz,Univ. of California - Santa Cruz,https://people.ucsc.edu/~dfremont,"aaai, cav, pldi, rss"
Daniel J. Lizotte,Western University,Western University,http://www.csd.uwo.ca/~dlizotte,"icml, ijcai, nips"
Daniel J. Sorin,Duke University,Duke University,http://people.ee.duke.edu/~sorin,"asplos, hpca, iros, isca, micro, rss, sc, sigmetrics, usenixatc"
Daniel J. Wigdor,University of Toronto,University of Toronto,http://www.dgp.toronto.edu/~dwigdor,"chiconf, ubicomp, uist, vis, www"
