institution,latitude,longitude,street_address,city,zip_code,country
University Of Detroit Mercy,42.41588,-83.1387,West Mcnichols Road,Detroit,48221,United States
"Ikona, Inc.",40.745937,-73.983955,Madison Avenue,New York,10016,United States
Riverside Community College District/Riverside City College,33.982513,-117.37428,Main Street,Riverside,92501,United States
Health Research Incorporated/New York State Department Of Health,42.687,-73.729836,Broadway,Menands,12204,United States
Suffolk University,42.374233,-71.03907,Central Square South,East Boston,02128,United States
Las Cumbres Observatory Global Telescope Network,34.43274,-119.86335,Cortona Drive,Goleta,93117,United States
Research Triangle Institute,35.90366,-78.86565,East Cornwallis Road,Durham,27713,United States
Pontifical Catholic University Of Puerto Rico,17.99569,-66.61963,Calle Dr. Luis F. Sala Goenaga / Calle B,Ponce,00717,
National Institute Of Statistical Sciences,35.99504,-78.90064,East Main Street,Durham,27701,United States
National Postdoctoral Association,39.075546,-77.269165,Lantern Hollow Drive,North Potomac,20878,United States
Midwest Electric Propulsion Company (Mepco),43.093155,-87.94788,North 27th Street,Milwaukee,53216,United States
"Engeniousag, Llc",42.03239,-93.65087,Woi Road,Ames,50011,United States
New York State Education Department,42.653965,-73.75751,Washington Avenue,Albany,12234,United States
American Geological Institute,38.83636,-77.10253,King Street,Alexandria,22302,United States
"Blueshift, Llc",39.915398,-105.090065,Commerce Street,Broomfield,80020,United States
Gannon University,42.95307,-78.82377,Englewood Avenue,Buffalo,14214,United States
National Institutes Of Health (Nih/Od/Oer),39.0033,-77.09794,Rockville Pike,Bethesda,20814,United States
Community College District 502,41.84218,-88.07644,Fawell Boulevard,Glen Ellyn,60137,United States
"Maverick Space Systems, Inc.",35.245144,-120.670204,Steel Way,San Luis Obispo,93401,United States
Spira Inc,38.849438,-77.19653,Masonville Drive,Annandale,22003,United States
W E Upjohn Institute For Employment Research,42.28937,-85.59009,South Westnedge Avenue,Kalamazoo,49007,United States
Field Propulsion Technonogies Inc.,39.628685,-104.703186,South Elk Street,Aurora,80016,United States
"Stabilux Biosciences, Inc",47.107613,-88.52806,Ridge Road,Houghton,49931,United States
"New England Hemolytics, Inc.",41.2996,-72.75366,Sycamore Way,Branford,06405,United States
Sitka Tribe Of Alaska,57.05686,-135.34819,Siginaka Way,Sitka,99835,United States
Alpha-En Corporation,41.579185,-73.810684,New York Highway 82,Hopewell Junction,12533,United States
"Z-Polymers, Llc",42.68963,-71.09203,Country Club Circle,North Andover,01845,United States
"Sufficiently Advanced, Inc.",37.519135,-122.30665,De Koven Avenue,Belmont,94002,United States
"Kalion, Inc.",30.614817,-87.02152,Richard Lane Road,Milton,32583,United States
"Brainstorm Therapeutics, Inc.",32.870132,-117.20161,Toscana Way,San Diego,92122,United States
Ciwro,35.232914,-97.49441,West Robinson Street,Norman,73072,United States
Magnify Biosciences Inc.,40.59251,-80.10452,Norman Drive,Sewickley,15143,United States
"Roswell Park Cancer Institute, Division Of Health Research, Inc",42.88679,-78.87865,Niagara Square,Buffalo,14202,United States
Envision Health Technologies Inc,40.932163,-73.82387,Sturgis Road,Bronxville,10708,United States
Lake Pontchartrain Basin Foundation,30.01272,-90.15407,North Causeway Boulevard,Metairie,70002,United States
Mattiq Inc,41.889194,-87.65525,North Aberdeen Street,Chicago,60642,United States
Goeppert Llc,39.955837,-75.1769,Arch Street,Philadelphia,19103,United States
New Mexico Consortium,35.87731,-106.32531,West Jemez Road,Los Alamos,87544,United States
The New York City Foundation For Computer Science Education,41.125053,-73.71415,Main Street,Armonk,10504,United States
Rowbot Systems Llc,44.97756,-93.263756,South 4th Street,Minneapolis,55415,United States
Silvis Materials,40.06339,-105.17076,Fairlawn Court,Boulder,80301,United States
Ironsides Medical Inc,42.36559,-71.104,Prospect Street,Cambridge,02139,United States
Access Sensor Technologies,40.596554,-105.07191,East Vine Drive,Fort Collins,80524,United States
Bentley University,42.383156,-71.22459,Forest Street,Waltham,02452,United States
Small Business Administration,38.884686,-77.015656,3rd Street Southwest,Washington,20024,United States
Learn Collaborate Inc.,34.1469,-118.39145,Moorpark St,Studio City,91604,United States
University Of Tampa,27.947681,-82.46449,West Kennedy Boulevard,Tampa,33606,United States
"Dynamic Entropy Technology, Llc",46.240517,-119.26602,Pinionwood Court,Richland,99352,United States
Hartwick College,42.458645,-75.071846,Hartwick Drive,Oneonta,13820,United States
New York Women In Film & Television,40.75313,-73.88728,34th Avenue,New York,11372,United States
Uru The Right To Be Inc,41.42625,-72.92239,Hillfield Road,Hamden,06518,United States
"Ai Metrics, Llc",33.511837,-86.81252,1st Avenue North,Birmingham,35209,United States
New England Complex Systems Institute,40.762886,-111.90142,West 300 South,Salt Lake City,84101,United States
Council Of Independent Colleges,38.909134,-77.044495,Dupont Circle Northwest,Washington,20036,United States
"Department Of Energy, Office Of Scientific And Technical Informa",36.010296,-84.26957,North Illinois Avenue,Oak Ridge,37830,United States
Prhobe Inc,37.88666,-122.19615,El Toyonal,Orinda,94563,United States
"Synsorybio, Inc.",42.382877,-71.097275,Wesley Park,Somerville,02143,United States
Doane University,41.44462,-87.6313,West Exchange Street,Crete,60417,United States
"Jupiter Therapeutics, Inc.",33.79958,-118.07468,Wallingsford Road,Los Alamitos,90720,United States
Colorado State University-Pueblo,38.31052,-104.5781,Bonforte Boulevard,Pueblo,81001,United States
Pharmacoustics Technologies Llc,44.684223,-74.97972,Circle Drive,Potsdam,13676,United States
"Canomiks, Inc.",44.020866,-92.46485,1st Avenue Southwest,Rochester,55902,United States
"Community & Technical Colleges, Washingtion State Board For",47.044907,-122.90169,Capitol Way Southeast,Olympia,98501,United States
"Literaseed, Inc.",40.792286,-77.83528,Sawgrass Circle,State College,16801,United States
Runestone Academy Ltd,45.51885,-92.37878,Maier Court,Luck,54853,United States
"Alchemie Solutions, Inc.",42.55139,-83.31356,Walnut Lake Road,Bloomfield Hills,48301,United States
Myconaut Llc,46.79205,-87.70184,County Road 550,Marquette,49855,United States
Genexgen Inc,37.39611,-122.11025,East Portola Avenue,Los Altos,94022,United States
Gordon College,32.93436,-97.078384,South Main Street,Grapevine,76051,United States
"Halo Cures, Inc.",41.9064,-87.6373,West Evergreen Avenue,Chicago,60610,United States
Platform Technology Ventures Llc,42.31161,-71.31416,Pine Plain Road,Wellesley,02481,United States
Chugach Regional Resources Commission,61.16083,-149.85464,Brayton Drive,Anchorage,99507,United States
Campbell University,35.410374,-78.73671,Main Street,Lillington,27506,United States
Mississippi University For Women,33.49522,-88.42752,Main Street,Columbus,39701,United States
Fruitvaccine Incorporation,40.09115,-88.23998,Hazelwood Drive,Champaign,61820,United States
American Society For Microbiology,38.90707,-77.04045,North Street Northwest,Washington,20036,United States
Rockefeller University,42.87113,-77.88555,York Road East,York,14592,United States
Paramount Planet Product,33.89819,-118.17062,Petrol Street,Paramount,90723,United States
Trident Technical College,32.85388,-79.97345,Reynolds Avenue,North Charleston,29405,United States
"Surfplasma, Inc.",29.661444,-82.43552,Northwest 9th Place,Gainesville,32606,United States
Community College Of Denver,39.74176,-105.00117,West Colfax Avenue,Denver,80204,United States
"Skip Technology, Inc.",45.50755,-122.65917,Southeast 7th Avenue,Portland,97214,United States
Federation Of American Scientists,38.904526,-77.041954,18th Street Northwest,Washington,20036,United States
"Stec Technology, Inc.",41.695076,-71.27206,Broadcommon Road,Bristol,02809,United States
"National Currency Technologies, Inc.",38.967686,-77.52833,Minerva Drive,Brambleton,20148,United States
"Elektroda, Llc",40.454594,-79.90511,Lynn Way,Pittsburgh,15208,United States
"Baonano, Llc",33.263687,-111.86479,West Javelina Drive,Chandler,85286,United States
Erli.ai Inc.,42.286343,-71.140205,Belgrade Avenue,Roslindale,02131,United States
Department Of Education,38.886402,-77.01879,Maryland Avenue Southwest,Washington,20202,United States
Rancho Santa Ana Botanic Garden,21.309742,-157.81044,East Manoa Road,Honolulu,96822,United States
"Nitrate Elimination Company, Inc",47.191402,-88.41085,Hecla Street,Lake Linden,49945,United States
Calm Waters Group Llc,38.100502,-122.225624,Georgia Street,Vallejo,94591,United States
"Moires Instruments, Llc",36.08921,-79.50196,Brandon Mill Court,Elon,27244,United States
Silverside Detectors Inc.,42.38481,-71.20088,Beaver St,Waltham,02452,United States
Neptunya Ocean Power Llc,26.79849,-80.08337,Congress Avenue,Lake Park,33403,United States
"Inversai, Inc.",33.93168,-83.362274,Riverbend Road,Athens,30602,United States
Envonics Llc,25.89948,-80.15989,Biscayne Boulevard,North Miami,33181,United States
Radmantis Llc,41.604904,-83.673965,Larchwood Lane,Toledo,43614,United States
"Energao, Inc.",37.625256,-89.22383,Stonecreek Drive,Makanda,62958,United States
Steg Ai Corporation,33.63802,-117.84909,California Avenue,Irvine,92617,United States
"Owic Technologies, Inc.",42.439686,-76.4967,East State Street,Ithaca,14850,United States
Kismet Technologies Inc.,28.461424,-81.29556,T.P.C. Drive,Orlando,32822,United States
Thrupore Technologies,39.69048,-75.61065,Reads Way,New Castle,19720,United States
"Cosmic Eats, Inc.",37.231182,-84.98551,Green River Valley Road,Liberty,42539,United States
"Ligero, Inc.",43.08167,-77.5089,Crestview Drive,Pittsford,14534,United States
Metfora Llc,32.00664,-110.69507,South Sonoita Ranch Circle,Vail,85641,United States
First Water Technology Co.,34.04805,-118.25419,West 6th Street,Los Angeles,90014,United States
Freshkube Inc.,33.37641,-111.880806,Paseo Loma,Mesa,85202,United States
Tatum Robotics Llc,28.36417,-82.693214,US Route 19,Hudson,34667,United States
"Med Dimensions, Llc",43.15657,-77.75625,Vantage Point Drive,Rochester,14624,United States
"Polypv, Llc",35.79571,-78.82086,Promontory Point Drive,Cary,27513,United States
Sign-Speak Inc,43.157078,-77.60143,East Avenue,Rochester,14604,United States
Geolabe Llc,35.88063,-106.2997,Central Avenue,Los Alamos,87544,United States
Mealmate Inc.,33.857925,-118.39231,4th Street,Hermosa Beach,90254,United States
"Bloom Surgical, Inc.",26.301497,-98.163574,South 10th Avenue,Edinburg,78539,United States
"Solve Technology And Research, Inc.",28.51563,-81.53609,Down Hollow Lane,Windermere,34786,United States
Deepconvo Inc.,40.511833,-79.86495,Cornwall Drive,Pittsburgh,15238,United States
"Administrative Resource Center, Treasury Franchise Services",39.26674,-81.56125,5th Street,Parkersburg,26101,United States
Carbon Solutions Llc,41.56446,-84.98049,East Bellefontaine Road,Pleasant Lake,46779,United States
Soliome Llc,37.74049,-122.42103,Cortland Avenue,San Francisco,94110,United States
Savannah State University,30.61839,-96.34548,University Drive,College Station,77840,United States
"Abbrescia, Leonardo Enrique",42.725445,-84.48231,Red Cedar Road,East Lansing,48824,United States
University Of Chicago Math Department,40.34278,-74.657005,Elm Drive,Princeton,08544,United States
Central Community College,40.92496,-98.33936,East 2nd Street,Grand Island,68801,United States
Butte-Glenn Community College District,46.0127,-112.53797,West Park Street,Butte,59701,United States
Germanna Community College,38.375397,-77.78019,Germanna Highway,Locust Grove,22508,United States
Minnesota State Colleges & Universities,44.947983,-93.09577,7th Street East,Saint Paul,55101,United States
Antelope Valley Union High School District,42.129597,-98.02857,East 5th Street,Neligh,68756,United States
"Quicksilver Biosciences, Inc.",40.814148,-73.95524,Amsterdam Avenue,New York,10027,United States
Northland Community & Technical College,48.11704,-96.181564,Main Avenue South,Thief River Falls,56701,United States
Suny Onondaga Community College,43.00211,-76.20056,West Seneca Turnpike,Syracuse,13215,United States
College Of Central Florida,29.16538,-82.1738,Southwest College Road,Ocala,34474,United States
"Vaxform, Llc",40.59976,-75.36632,Research Drive,Bethlehem,18015,United States
Benjamin Franklin Cummings Institute Of Technology,43.0849,-77.67451,Lomb Memorial Drive,Rochester,14623,United States
Cuny Borough Of Manhattan Community College,40.789352,-73.95709,97th Street Transverse,New York,10025,United States
Pennsylvania College Of Technology,41.2337,-77.02331,College Avenue,Williamsport,17701,United States
Souvie Biodelivery Llc,32.43278,-110.94506,East Innovation Park Drive,Oro Valley,85755,United States
University Of Evansville,37.96994,-87.53122,South Frederick Street,Evansville,47714,United States
Mechasim Inc.,42.37261,-71.08623,Gore Street,Cambridge,02141,United States
"Seven Biosciences, Inc.",38.551098,-121.71528,Pena Drive,Davis,95618,United States
Cleveland Clinic Foundation,41.50255,-81.62109,Euclid Avenue,Cleveland,44195,United States
Bureau Of Reclamation,38.89463,-77.0426,C Street Northwest,Washington,20240,United States
Retinal Registry,32.65869,-117.03981,Bonita Road,Bonita,91902,United States
University Of Sounther California,34.017284,-118.28126,South Flower Street,Los Angeles,90089,United States
"Stemloop, Inc.",42.050335,-87.68433,Maple Avenue,Evanston,60201,United States
North Park University,41.97493,-87.71017,West Foster Avenue,Chicago,60625,United States
"Plexision, Inc.",40.465942,-79.952614,Penn Avenue,Pittsburgh,15224,United States
Rstream Recycling Inc,42.38171,-71.102776,Somerville Avenue,Somerville,02143,United States
Rootwords Inc,40.641285,-111.48083,Lakeside Drive,Park City,84060,United States
Cosmic Picture Distribution Llc,41.33344,-73.66655,Lee Road,Somers,10589,United States
Belmont Abbey College,35.26081,-81.036476,Belmont Mount Holly Road,Belmont,28012,United States
Numix Materials Inc.,43.04342,-88.04461,West Innovation Drive,Wauwatosa,53226,United States
Mineralogic Llc,46.88316,-92.03407,West Tischer Road,Duluth,55803,United States
Advisory Aerospace Osc Llc,44.92196,-93.45399,Gaywood Drive,Minnetonka,55345,United States
Rowland Robert Reeves,38.58102,-121.493935,I Street,Sacramento,95814,United States
Tribal Nations Research Group,48.83679,-99.75188,Chief Little Shell Street Northeast,Belcourt,58316,United States
"Subtidal, Inc.",41.584183,-70.55526,Terrence Avenue,East Falmouth,02536,United States
"Vena Vitals, Inc.",33.63802,-117.84909,California Avenue,Irvine,92617,United States
"Lilu, Inc.",40.755287,-73.98953,West 40th Street,New York,10018,United States
Kepley Biosystems Incorporated,36.057545,-79.745705,East Gate City Boulevard,Greensboro,27401,United States
"University Of California, Riverside",34.101513,-117.76982,D Street,La Verne,91750,United States
Augustana University Association,43.526638,-96.73706,South Summit Avenue,Sioux Falls,57197,United States
"Sonovance, Inc.",39.34139,-76.63158,Somerset Place,Baltimore,21210,United States
"Defined Bioscience, Inc.",32.887444,-117.18291,Nancy Ridge Drive,San Diego,92121,United States
"Center For The Advancement Of Science In Space, Inc.",28.261646,-80.6926,Viera Boulevard,Melbourne,32955,United States
"Crystal Sonic, Inc.",33.47638,-112.0788,West Virginia Avenue,Phoenix,85003,United States
Quantireal Inc.,37.36661,-121.99036,Monroe Street,Santa Clara,95051,United States
Genalpha Nuclear Technologies Llc,44.74774,-85.63065,Veterans Drive,Traverse City,49684,United States
Eduworks Corporation,44.561497,-123.26393,Southwest 4th Street,Corvallis,97333,United States
Search Technology Inc,33.97714,-84.21195,Peachtree Corners Circle,Peachtree Corners,30092,United States
"Truspin Nanomaterial Innovation, Inc.",33.511837,-86.81252,1st Avenue North,Birmingham,35209,United States
Phage Refinery Llc,29.700045,-98.44609,Trinity Pass,San Antonio,78261,United States
"Soarce, Inc.",28.366764,-81.29003,Sanger Road,Orlando,32827,United States
University Of Texas Arlington,40.79906,-74.23948,Eagle Rock Avenue,West Orange,07052,United States
Dmag Usa Llc,37.99182,-87.56296,East Morgan Avenue,Evansville,47711,United States
Duke University Biology Department,35.91062,-79.04868,Lenoir Drive,Chapel Hill,27599,United States
Quarksen Llc,42.0399,-71.20505,Francis Avenue,Mansfield,02048,United States
High Point University,35.970406,-79.99219,Innovation Way,High Point,27262,United States
New York University Grossman School Of Medicine,40.745155,-73.982666,East 31st Street,New York,10016,United States
California Polytechnic State University,35.288525,-120.65174,Monterey Street,San Luis Obispo,93401,United States
"The Regents Of The University Of California, Berkeley Campus",37.868706,-122.259186,Telegraph Avenue,Berkeley,94704,United States
Institute Of Plant Sciences Paris Saclay University,39.945084,-75.16854,South 16th Street,Philadelphia,19146,United States
Carnegie Institution For Science,37.424667,-122.17027,Lasuen Mall,Stanford,94305,United States
San Diego State University,33.975407,-117.33183,University Avenue,Riverside,92521,United States
New York University Medical Center,40.742214,-73.974144,1st Avenue,New York,10016,United States
The Rockefeller University,40.76531,-73.963844,East 65th Street,New York,10065,United States
Percept Biosciences Inc.,32.746555,-117.25113,Bacon Street,San Diego,92107,United States
University Of Minnesota-Duluth,42.441082,-76.496376,North Tioga Street,Ithaca,14850,United States
University Of Kentucky,37.061573,-84.61471,University of Kentucky Drive,Somerset,42501,United States
Illinois Natural History Survey,41.70205,-86.23562,Cavanaugh Drive,South Bend,46556,United States
University Of Guelph,42.229797,-83.71955,East Ellsworth Road,Ann Arbor,48108,United States
Central Carolina Community College,28.811728,-81.26803,East 1st Street,Sanford,32771,United States
Reuben H. Fleet Science Center,32.713623,-117.16016,F Street,San Diego,92101,United States
Anne Arundel Community College,39.029007,-76.504036,Arnold Road,Arnold,21012,United States
University Of Cambridge,52.22219,0.096421,Lawrence Weaver Road,Cambridge,CB3 0LE,United Kingdom
University Of Virginia,50.73511,7.099684,Dreieck,Bonn,53111,Germany
Suny College At New Paltz,41.73953,-74.08103,South Manheim Boulevard,New Paltz,12561,United States
Monterey Institute For Research In Astronomy,41.156914,-86.48228,Walnut Street,Monterey,46960,United States
The College Of Idaho,43.65276,-116.67683,Cleveland Boulevard,Caldwell,83605,United States
"Wui-Go, Llc",38.76506,-75.21162,Coastal Highway,Lewes,19958,United States
Chascii Inc,34.19083,-118.111824,East Altadena Drive,Altadena,91001,United States
"Mellicell, Inc.",42.363773,-71.202156,Chapel Street,Newton,02458,United States
International Wheat Genome Sequencing Consortium,44.7694,-91.439,Village Terrace Court,Eau Claire,54701,United States
Community College Of Aurora,39.717957,-104.802704,East Centretech Parkway,Aurora,80011,United States
Bioaesthetics Corporation,35.99917,-78.90201,Foster Street,Durham,27701,United States
Circadian Positioning Systems Inc,41.483925,-71.3144,Thames Street,Newport,02840,United States
Atlas Ai P.b.c.,37.976498,-122.48638,Lochinvar Road,San Rafael,94901,United States
Cornerstone Genomics Llc,39.44116,-77.76227,Millers Sawmill Road,Sharpsburg,21782,United States
Biospherical Instruments Inc,32.76633,-117.19505,Riley Street,San Diego,92110,United States
Computational Physics Inc,38.81045,-77.22053,Braddock Road,Springfield,22151,United States
Academy Of Natural Sciences Philadelphia,39.95685,-75.17125,Benjamin Franklin Parkway,Philadelphia,19103,United States
"Cartesian Systems, Inc.",42.371822,-71.07767,Monsignor O'brien Highway,Cambridge,02141,United States
Hobart And William Smith Colleges,31.040434,-85.87726,West Hart Avenue,Geneva,36340,United States
Natural History Museum Of Los Angeles County,34.07821,-118.12931,West Valley Boulevard,Alhambra,91803,United States
University Of South Carolina,34.077396,-82.11086,County Line Road,Greenwood,29819,United States
Luther College,43.316235,-91.802414,College Drive,Decorah,52101,United States
Houston Community College,29.760496,-95.363434,Travis Street,Houston,77002,United States
South Bend Woodworks Llc,41.676373,-86.25198,West Washington Street,South Bend,46601,United States
"Rosales, Detbra",38.367023,-75.599525,East Salisbury Parkway,Salisbury,21802,United States
Muskingum College,39.997654,-81.737785,Stormont Avenue,New Concord,43762,United States
Pyran Inc,43.05744,-89.47678,South Rosa Road,Madison,54136,United States
"Gaia Ai, Inc",20.903126,-156.37187,Baldwin Avenue,Paia,96779,United States
Esm Global Productions Llc,43.66172,-70.25116,Federal Street,Portland,04101,United States
Ohio Dominican University,39.96223,-83.00064,East Broad Street,Columbus,43215,United States
"O2m Technologies, Llc",41.872894,-87.68329,West Campbell Park Drive,Chicago,60612,United States
New York Botanical Garden,40.847,-73.8972,East Tremont Avenue,New York,10457,United States
Resbonds International Corporation,38.96966,-77.38615,Spring Street,Herndon,20170,United States
University Of Nevada-Reno,29.649763,-82.34351,Union Road,Gainesville,32611,United States
Indiana Wesleyan University,40.557873,-85.659744,Sears Drive,Marion,46952,United States
Stem Next Opportunity Fund,32.73424,-117.21647,Historic Decatur Road,San Diego,92106,United States
Three3,35.9651,-83.92182,West Summit Hill Drive,Knoxville,37902,United States
University Of California Div Of Agriculture & Natural Resources,37.805305,-122.27058,15th Street,Oakland,94612,United States
"Debater Hub, Llc",37.703495,-122.08637,Adair Drive,Castro Valley,94546,United States
California State University Channel Islands,34.189,-119.2212,South Victoria Avenue,Oxnard,93035,United States
"Center On Rural Innovation, Inc",43.10405,-88.34786,Haight Drive,Hartland,53029,United States
"New Growth Innovation Network, Inc",41.881084,-87.62858,West Monroe Street,Chicago,60603,United States
Ecohealth Alliance Inc.,40.753693,-73.99208,8th Avenue,New York,10018,United States
Tile Farm Llc,35.095543,-106.610535,Richmond Drive Northeast,Albuquerque,87106,United States
"Hoofprint Biome, Inc.",35.773823,-78.673004,Oval Drive,Raleigh,27606,United States
Hendtech Llc,34.7777,-82.20893,Bells Creek Drive,Simpsonville,29681,United States
Mayfair Group Llc,36.847023,-76.29326,West Main Street,Norfolk,23510,United States
University Of Toronto,44.04551,-123.06799,Columbia,Eugene,97403,United States
"Raven Space Systems, Inc.",39.09891,-94.60118,West 13th Terrace,Kansas City,64102,United States
College Of Saint Scholastica,46.81529,-92.10645,Kenwood Ave,Duluth,55811,United States
Concord University,33.957714,-83.37524,East Broad Street,Athens,30601,United States
Atmospheric And Environmental Research Inc,42.462494,-71.26791,Hartwell Avenue,Lexington,02421,United States
"Wildlife Protection Management, Inc.",35.19139,-106.52984,Florence Avenue Northeast,Albuquerque,87122,United States
Riff Learning Inc,42.336246,-71.205414,Fenno Road,Newton,02459,United States
University Of Puerto Rico At Bayamon,18.315489,-66.14593,Carr 174,Bayamón,00956,
Sensible Weather Co,34.020542,-118.49293,Arizona Avenue,Santa Monica,90401,United States
Naugatuck Valley Community College,41.55419,-73.0429,Grand Street,Waterbury,06702,United States
"International Alliance For Phytobiomes Research, Inc.",44.810642,-91.49766,Main Street,Eau Claire,54701,United States
"Micro-Grx, Incorporated",28.42012,-81.26639,Northlake Parkway,Orlando,32827,United States
Edna Inc.,42.094658,-71.87171,Mayfair Circle,Oxford,01540,United States
Saint Augustine's College,29.892681,-81.31404,Cathedral Place,St. Augustine,32084,United States
Hyperion Technologies Llc,38.88049,-77.11359,Wilson Boulevard,Arlington,22203,United States
"Anova Biomedical, Inc.",42.402946,-76.47806,East King Road,Ithaca,14850,United States
"Assistments Foundation, Inc.",42.288246,-71.72144,Hapgood Way,Shrewsbury,01545,United States
Mstatt Llc,41.47807,-81.77478,Ridgewood Avenue,Lakewood,44107,United States
Polarctic Llc,38.46462,-77.398315,Darden Court,Stafford,22554,United States
"Eyedea Medical, Inc",39.26352,-76.61629,West Dickman Street,Baltimore,21230,United States
Child Trends Inc,39.059032,-77.120384,Twinbrook Parkway,Rockville,20852,United States
Rehabnetics Medical Llc,45.012306,-93.22724,Stinson Parkway,Minneapolis,55418,United States
Climate Analytics Inc.,40.745937,-73.983955,Madison Avenue,New York,10016,United States
Virtual Collaboration Research Inc.,42.38138,-71.1081,Ivaloo Street,Somerville,02143,United States
"Informuta, Inc.",29.981937,-90.07522,Dabadie Street,New Orleans,70119,United States
Unigrid Inc.,32.9701,-117.177864,Via Madera,San Diego,92130,United States
"Group1, Inc.",29.844683,-97.97982,Hunter Road,San Marcos,78666,United States
Hplus Inc,34.44925,-119.71484,Cheltenham Road,Santa Barbara,93105,United States
"Mantel Capture, Inc.",45.022587,-69.47286,Main Street,Cambridge,04923,United States
"Figure 8, Inc.",35.208736,-120.62421,Madbury Court,San Luis Obispo,93401,United States
University Of Copenhagen,42.194866,-71.20038,Nahatan Street,Norwood,02062,United States
Inter-American Institute For Global Change Research,-34.906334,-56.20423,Rincón,Montevideo,11000,Uruguay
The Ohio State University,40.0029,-83.01369,West Nineteenth Avenue,Columbus,43210,United States
W1fb Us Military Academy,33.6071,-88.648735,East Main Street,West Point,39773,United States
"Patel, Dhruvit",38.94187,-77.02551,Georgia Avenue Northwest,Washington,20011,United States
"Communication Service For The Deaf, Inc.",30.411098,-97.85189,Ranch Road 620 North,Austin,78726,United States
Data & Society Research Institute,40.84271,-74.20334,Norwood Avenue,Montclair,07043,United States
Suny College At Plattsburgh,44.69775,-73.45221,City Hall Place,Plattsburgh,12901,United States
Molten Materials Llc,33.73214,-117.84658,South Wright Street,Santa Ana,92705,United States
Trinity Christian College,41.668636,-87.783455,W College Dr,Palos Heights,60463,United States
Elif Environmental Llc,43.17644,-87.94533,North Range Line Road,River Hills,53217,United States
Eastern Mennonite University,42.009796,-87.83065,Summit Avenue,Park Ridge,60068,United States
Ramapo College Of New Jersey,41.08275,-74.17738,Ramapo Valley Road,Mahwah,07430,United States
Society For Industrial And Applied Math (Siam),39.952755,-75.166855,South 16th Street,Philadelphia,19102,United States
"Ictero Medical, Inc.",29.65394,-95.44011,Holmes Road,Houston,77045,United States
Aeromutable Corporation,33.0466,-116.87618,Maple Street,Ramona,92065,United States
"Estat Actuation, Inc.",40.425415,-79.93049,Welfer Street,Pittsburgh,15217,United States
"Bioamp Diagnostics, Inc.",37.503475,-122.249374,Brittan Avenue,San Carlos,94070,United States
"Gnu Company, Llc",42.45952,-71.12584,Highland Avenue,Winchester,01890,United States
Northern New Mexico College,36.003918,-106.084656,North Paseo De Oñate,Española,87532,United States
Dencoda Llc,40.464848,-86.9041,Elkhart Street,West Lafayette,47906,United States
Stargazer Design Technologies Inc,42.97054,-71.19113,Fremont Road,Chester,03036,United States
Mithrilai Corp.,36.733532,-85.271286,Green Grove Road,Burkesville,42717,United States
"Artimatic Technologies, Inc.",33.88047,-84.21693,Tuckersham Lane,Tucker,30084,United States
Clue Genetics Inc.,37.76534,-122.2419,Park Street,Alameda,94501,United States
Carbide Radio Inc,37.226517,-121.86399,Lillian Way,San Jose,95120,United States
Freescale Llc,35.79809,-78.84476,Lippershey Court,Cary,27513,United States
Maxwave Llc,43.17492,-89.455734,Dublin Way,Waunakee,53597,United States
Nasus Medical Inc.,33.41867,-111.83858,West 2nd Street,Mesa,85201,United States
"Iris Light Technologies, Inc.",41.901066,-87.685,West Thomas Street,Chicago,60622,United States
University Of Minnesota,42.445164,-76.48261,Campus Road,Ithaca,14853,United States
"Novothelium, Llc",29.538465,-98.441185,Gabriel's Place,San Antonio,78217,United States
Development Gateway,38.904083,-77.02997,13th Street Northwest,Washington,20005,United States
American Educational Research Association,38.902237,-77.033165,K Street Northwest,Washington,20005,United States
Oakton Community College,42.062347,-87.880486,East Golf Road,Des Plaines,60016,United States
Council Of Graduate Schools,38.909134,-77.044495,Dupont Circle Northwest,Washington,20036,United States
American Society Of Plant Biologists,39.10967,-77.15181,Monona Drive,Derwood,20855,United States
Suny Adirondack,43.35456,-73.65408,Bay Road,Queensbury,12804,United States
Aquasys Llc,38.92993,-77.04386,Kenyon Street Northwest,Washington,20010,United States
Sonoma State University,38.339554,-122.67546,East Cotati Avenue,Rohnert Park,94928,United States
"Start International, Inc.",40.57504,-105.06956,Locust Street,Fort Collins,80524,United States
"Elsevier, Inc.",40.754436,-73.97619,Park Avenue,New York,10169,United States
"Salient Predictions, Inc.",41.54873,-70.626396,Gull Road,Falmouth,02540,United States
Denver Health And Hospital Authority,39.72796,-104.991035,Bannock Street,Denver,80204,United States
Mozilla Foundation,37.786976,-122.39958,New Montgomery Street,San Francisco,94105,United States
Single Crystal Diamond Inc,42.05587,-71.71063,Franklin Street,Douglas,01516,United States
"Toward A Better Humanity, Llc",40.450592,-79.90916,South Dallas Avenue,Pittsburgh,15208,United States
Fred Hutchinson Cancer Center,47.627617,-122.33116,Fairview Avenue North,Seattle,98109,United States
Earth Images Foundation,37.805305,-122.27058,15th Street,Oakland,94612,United States
Association Of Science-Technology Centers,38.914635,-77.04526,Florida Avenue Northwest,Washington,20009,United States
Hartnell College,36.675114,-121.66602,Central Avenue,Salinas,93901,United States
Black In Marine Science,47.659016,-117.42503,West Main Avenue,Spokane,99201,United States
Northeast State Technical Community College,36.48503,-82.40847,Bristol Highway,Blountville,37617,United States
Muuklabs Inc.,35.78445,-78.6467,West North Street,Raleigh,27603,United States
